2019;202
2018;169
2017;167
2014;154
2016;147
2015;139
2013;123
2012;107
2010;99
2008;94
2011;93
2007;93
2020;86
2009;85
2006;72
2003;71
2005;68
2000;66
2004;63
2001;59
2002;48
1999;36
1998;28
1996;27
1994;24
1993;24
1990;20
1997;20
1979;20
1991;20
1995;19
1989;17
1986;17
1992;17
1987;10
1977;10
1973;10
1980;8
1981;8
1988;7
1984;7
1969;7
1962;7
1967;6
1983;6
1975;6
1985;6
1972;6
1978;5
1960;5
1971;5
1934;5
1957;5
1976;5
1925;5
1964;5
1933;5
1959;5
1965;4
1949;4
1966;4
1982;4
1917;4
1920;4
1974;3
1948;3
1963;3
1944;3
1968;3
1956;2
1970;2
1954;2
1929;2
1961;2
1936;2
1932;2
1928;2
1953;2
1938;2
1935;2
1927;2
1952;2
1945;1
1153;1
1955;1
1408;1
1958;1
1875;1
1536;1
1896;1
1891;1
1918;1
1922;1
1387;1
1026;1
1413;1
1829;1
1906;1
1866;1
1892;1
1921;1
1926;1
1903;1
1915;1
1841;1
1832;1
1930;1
1826;1
1649;1
1764;1
1830;1
1872;1
1827;1
1360;1
1021;1
1942;1
2112;1
2128;1
1951;1
2356;1
2818;1
1923;1
1376;1
