2019;782
2018;538
2017;523
2016;427
2014;415
2020;394
2015;392
2013;382
2010;310
2012;299
2011;259
2008;255
2009;237
2007;230
2005;196
2006;189
2003;185
2004;185
2000;153
2001;138
2002;132
1999;92
1998;90
1996;77
1995;75
1997;71
1994;70
1991;67
1990;59
1992;55
1993;54
1986;38
1979;35
1988;32
1987;32
1989;32
1973;25
1984;23
1983;22
1985;21
1972;21
1981;20
1971;19
1977;19
1980;19
1976;18
1968;18
1964;18
1975;18
1974;16
1967;15
1965;15
1969;15
1982;14
1978;14
1957;14
1960;13
1970;12
1966;11
1962;11
1933;8
1925;8
1920;8
1917;8
1949;8
1953;7
1934;7
1913;7
1935;6
1956;6
1927;6
1929;6
1954;6
1952;6
1930;6
1959;6
1961;6
2021;5
1958;5
1948;5
1955;5
1963;5
1944;5
1928;4
1890;3
1918;3
1931;3
1945;3
1922;3
1938;3
1895;2
1892;2
1872;2
1919;2
1903;2
1946;2
1896;2
1270;2
1216;2
1873;2
1926;2
1951;2
1936;2
1932;2
1070;1
2465;1
2069;1
1584;1
2474;1
2033;1
1886;1
2548;1
1889;1
1899;1
1893;1
2025;1
1690;1
1885;1
1800;1
1894;1
1583;1
1097;1
1950;1
2584;1
1874;1
2024;1
1911;1
1239;1
1242;1
1259;1
1265;1
1281;1
1301;1
1844;1
1947;1
1187;1
1206;1
1501;1
1941;1
1240;1
1063;1
2050;1
1662;1
2816;1
1450;1
1825;1
2855;1
1850;1
1779;1
1815;1
1904;1
2027;1
1505;1
1888;1
1881;1
1898;1
1910;1
1914;1
1900;1
1276;1
1272;1
1153;1
1408;1
1875;1
1536;1
1891;1
1387;1
1026;1
1413;1
1829;1
1906;1
1866;1
1921;1
1915;1
1841;1
1832;1
1826;1
1649;1
1764;1
1830;1
1827;1
1360;1
1021;1
1942;1
2112;1
2128;1
2356;1
2818;1
1923;1
1376;1
1200;1
1475;1
2096;1
1039;1
1456;1
1596;1
