Jenkins H.;25
Фуко М.;12
Котлер Ф.;11
Кондакова А.;10
Лотман Ю. М.;10
Кондаков А. А.;9
Макки Р.;9
Кулешов Л. В.;8
Сидоренко В. И.;8
Benoit W. L.;7
Gambarato R. R.;7
Kotler P.;7
Огурчиков П. К.;7
Пропп В. Я.;7
Садуль Ж.;7
Kim J.;6
Thompson J. B.;6
Беньямин В.;6
Кант И.;6
Митта А.;6
Портер М.;6
Снайдер Б.;6
Тарковский А.;6
Цыркун Н. А.;6
Эйзенштейн С. М.;6
Aarseth E.;5
Bucchi M.;5
Green J.;5
Habermas J.;5
Juul J.;5
Kuwahara Y.;5
Luhan M.;5
Meyer T.;5
Wellman B.;5
Арендт Х.;5
Базен А.;5
Ветрова Т. Н.;5
Дженкинс Г.;5
Кратасюк Е. Г.;5
Манович Л.;5
Прожико Г. С.;5
Рабигер М.;5
Роднянский А.;5
Тоффлер Э.;5
Усманова А. Р.;5
Федоров Н. Ф.;5
Шариков А. В.;5
Berry R.;4
Bonini T.;4
Bordwell D.;4
Cave S.;4
Deuze M.;4
Edelman M.;4
Fournier S.;4
Freeman M.;4
Greenhill E.;4
Hampton K.;4
Jin D. Y.;4
Lie J.;4
Maliangkay R.;4
Marwick A. E.;4
Nichols B.;4
Nielsen J.;4
Oh I.;4
Peaslee R. M.;4
Pratten R.;4
Sarcinelli U.;4
Weiner R. G.;4
Адорно Т. В.;4
Барабанов Б.;4
Барт Р.;4
Бердяев Н. А.;4
Бодрийяр Ж.;4
Бронников И. А.;4
Гофман И.;4
Домнин В. Н.;4
Дондурей Д.;4
Иванов А. А.;4
Кастельс М.;4
Кирия И. В.;4
Кэмпбелл Д.;4
Ларин О. С.;4
Левашов В.;4
Макеенко М. И.;4
Маклюэн М.;4
Манн И.;4
Моравидж А. О.;4
Остервальдер А.;4
Разлогов К.;4
Симмонс А.;4
Франк Г.;4
Хабермас Ю.;4
Шерель А. А.;4
Эйзенштейн С.;4
Эко У.;4
N. Y.;3
Aaker D. A.;3
Bartle R.;3
Boyd D.;3
Burnett R.;3
Carey J. W.;3
Castells M.;3
Chen J.;3
Cohen M.;3
Dihal K.;3
Eisner W.;3
Eyerman R.;3
Frasca G.;3
Gill A. L.;3
Gomez J.;3
Kapferer J. N.;3
Kinder M.;3
Kosterich A.;3
Manovich L.;3
Prosser M. H.;3
Quail D.;3
Rheingold H.;3
Schiller H. I.;3
Seger L.;3
Slota T.;3
Smith J. H.;3
Snijders T. A.;3
Thompson K.;3
Tosca S. P.;3
Travis R.;3
Urry J.;3
Weber M. S.;3
Yoon K.;3
Адорно Т.;3
Алексеев Г. В.;3
Амзин А.;3
Балаш Б.;3
Бахтин М. М.;3
Березин О.;3
Богородский С. В.;3
Бэдли Х.;3
Вартанова Е. Л.;3
Волков Д.;3
Галицкая О.;3
Герасименко А. С.;3
Делез Ж.;3
Дзялошинский И. М.;3
Дубин Б.;3
Егоркина С. Б.;3
Зельвенский С.;3
Иванов Г. П.;3
Иванов Н. В.;3
Ильченко О.;3
Квале С.;3
Кичин В.;3
Кон И.;3
Кракауэр З.;3
Кузелин В. А.;3
Леви Т. С.;3
Лезников П.;3
Ломоносова М. В.;3
Майоров Н.;3
Макклауд С.;3
Малинова О. Ю.;3
Малюкова Л.;3
Мамлеева Л.;3
Мороз О. В.;3
Муронец О. В.;3
Новикова А. А.;3
Паранько С.;3
Пензин С. Н.;3
Петухов В. В.;3
Поцелуев С. П.;3
Прохоров А. В.;3
Разлогов К. Э.;3
Рихтер А. Г.;3
Рощин С. Ю.;3
Саблина Т. А.;3
Сегер Л.;3
Секацкий А. К.;3
Сидоренко П. К.;3
Смирнов В. В.;3
Советкина Э. В.;3
Станиславский К. С.;3
