Павлов А.;20
Jenkins H.;19
Бахтин М. М.;15
Вартанова Е. Л.;13
Wallace D. F.;9
Габрелянов А.;8
Дзялошинский И. М.;8
Уоллес Д. Ф.;8
Барт Р.;7
Куренной В.;7
Лотман Ю. М.;7
Эко У.;7
Gambarato R. R.;6
Konstantinou L.;6
Аккер Э.;6
Гиббонс Т.;6
Маклюэн М.;6
ван Р.;6
Baysha O.;5
Clare R.;5
Gamson W. A.;5
Nichols B.;5
Гидденс Э.;5
Карамзин Н. М.;5
Павлов А. В.;5
Хабермас Ю.;5
Baym N. K.;4
Cohen S.;4
Entman R. M.;4
Febvre L. E.;4
Hepp A.;4
Hjarvard S.;4
Hutcheon L.;4
Illouz E.;4
In J. E.;4
Jodelet D.;4
Katz J. E.;4
Арутюнова Н. Д.;4
Бодрийяр Ж.;4
Жижек С.;4
Ильченко С. Н.;4
Качкаева А. Г.;4
Кузьмин А. Г.;4
Лазутина Г. В.;4
Мельник Г. С.;4
Мур А.;4
Ожегов С. И.;4
Почепцов Г. Г.;4
Свитич Л. Г.;4
Седита С.;4
Тартаковская И. Н.;4
Фрейд З.;4
Aarseth E.;3
Bauman Z.;3
Boswell M.;3
Burn S. J.;3
Castells M.;3
Cloud S.;3
Costa E.;3
Dijk T.;3
Donald J.;3
Douglas K. M.;3
Doyle G.;3
Gambarato R.;3
Grincheva N.;3
Habermas J.;3
Heraud R.;3
In M. A.;3
In W.;3
Kinder M.;3
Labov W.;3
Lister M.;3
Luhan M.;3
Mathijs E.;3
Modigliani A.;3
Pantti M.;3
Pratten R.;3
Skarlatidou A.;3
Treem J. W.;3
Александров Е. В.;3
Алешинская Е. В.;3
Аникина М. Е.;3
Бакунина Е. В.;3
Белл Д.;3
Вайнштейн Л. А.;3
Вартановой Е. Л.;3
Гиппиус З. Н.;3
Голышева В.;3
Грабельников А. А.;3
Дускаева Л. Р.;3
Заломкина Г. В.;3
Иваницкий В. Л.;3
Истомина М.;3
Кассиль Л. А.;3
Клушина Н. И.;3
Колесниченко А. В.;3
Кранк Э. О.;3
Кратасюк Е. Г.;3
Круткин В. Л.;3
Лотман Ю.;3
Малюкова Л.;3
Мороз О. В.;3
Муратов С. А.;3
Мурза С. Г.;3
Назаров М. М.;3
Немировская М. Л.;3
Нора П.;3
Пинчон Т.;3
Показаньева И. В.;3
Пропп В.;3
Пулман Ф.;3
Пушкин А. С.;3
Пушкина А. С.;3
Ревенга Е.;3
Соколов А. Г.;3
Терлецкий В.;3
Толмачева Е. Б.;3
Федотов Е.;3
Фомичева И. Д.;3
Хайдеггер М.;3
Хальбвакс М.;3
Чемякин Ю. В.;3
Чумакова В. П.;3
Aakhus M.;2
Abeele M. V.;2
Alberts J. K.;2
Alice L.;2
Allen M.;2
Andalibi N.;2
Anderson C.;2
Antheunis M. L.;2
Baker P.;2
Barra L.;2
Bataille M.;2
Beck U.;2
Bengtsson A.;2
Bignell J.;2
Bloomfield B. P.;2
Blumler J. G.;2
Bonney R.;2
Borgueta M.;2
Bruzzi S.;2
Bucaria C.;2
Bundy B.;2
Carter N.;2
Chomsky N.;2
Choudhury M.;2
Chouinard J.;2
Chumakova V.;2
Courtland L.;2
Cui D.;2
Davis J.;2
Deacon D.;2
Dovey J.;2
Duran R. L.;2
Eckhardt G.;2
Eisner W.;2
Evans S.;2
Fairclough N.;2
Fashion J.;2
Ferguson D. A.;2
Fisher H.;2
Freedman G.;2
Frith S.;2
Garstad S.;2
Geppert A. C.;2
Gernsheim E.;2
Gershon I.;2
Gibson J.;2
Goodwin A.;2
Green J.;2
Green N.;2
Haase A.;2
Haimson O. L.;2
Hale B.;2
