Jenkins H.;44
Павлов А.;20
Бахтин М. М.;18
Вартанова Е. Л.;18
Лотман Ю. М.;17
Колесниченко А. В.;16
Фуко М.;14
Gambarato R. R.;13
Aarseth E.;12
Барт Р.;12
Дзялошинский И. М.;12
Котлер Ф.;12
Макки Р.;11
Эко У.;11
Nichols B.;10
Кондакова А.;10
Маклюэн М.;10
Цвик В. Л.;10
Wallace D. F.;9
Кондаков А. А.;9
Кратасюк Е. Г.;9
Прожико Г. С.;9
Пропп В. Я.;9
Хабермас Ю.;9
Habermas J.;8
Kotler P.;8
Luhan M.;8
Амзин А.;8
Бодрийяр Ж.;8
Габрелянов А.;8
Кулешов Л. В.;8
Куренной В.;8
Рабигер М.;8
Сидоренко В. И.;8
Уоллес Д. Ф.;8
Цыркун Н. А.;8
Эйзенштейн С. М.;8
Benoit W. L.;7
Eisner W.;7
Green J.;7
Kim J.;7
Pratten R.;7
Беньямин В.;7
Долгова Л. В.;7
Лазутина Г. В.;7
Митта А.;7
Огурчиков П. К.;7
Садуль Ж.;7
Соколов А. Г.;7
Тоффлер Э.;7
Усманова А. Р.;7
Berry R.;6
Castells M.;6
Cloud S.;6
Kinder M.;6
Konstantinou L.;6
Nielsen J.;6
Thompson J. B.;6
Wellman B.;6
Аккер Э.;6
Арутюнова Н. Д.;6
Базен А.;6
Гиббонс Т.;6
Гидденс Э.;6
Жижек С.;6
Кант И.;6
Качкаева А. Г.;6
Круглова Л. А.;6
Кузнецов Г. В.;6
Малюкова Л.;6
Манович Л.;6
Мороз О. В.;6
Ожегов С. И.;6
Павлов А. В.;6
Портер М.;6
Роднянский А.;6
Снайдер Б.;6
Тарковский А.;6
Фрейд З.;6
Шерель А. А.;6
ван Р.;6
Baym N. K.;5
Baysha O.;5
Bucchi M.;5
Clare R.;5
Deuze M.;5
Freeman M.;5
Gambarato R.;5
Gamson W. A.;5
Hampton K.;5
Juul J.;5
Kuwahara Y.;5
Maliangkay R.;5
Meyer T.;5
Quail D.;5
Winston B.;5
