Year-month;Works qnty;Avrg each day in month;Avrg daily
2020-06;1;0.03;1.0
2020-05;42;1.35;3.82
2020-04;23;0.77;1.35
2020-03;16;0.52;2.67
2020-02;8;0.28;1.6
2020-01;3;0.1;1.0
2019-12;2;0.06;1.0
2019-11;2;0.07;1.0
2019-10;1;0.03;1.0
2019-09;3;0.1;1.0
2019-08;3;0.1;1.0
2019-05;1;0.03;1.0
2018-04;1;0.03;1.0
2018-02;1;0.04;1.0
2017-12;4;0.13;1.33
2017-09;1;0.03;1.0
2017-06;3;0.1;1.0
