Year-month;Works qnty;Avrg each day in month;Avrg daily
Unexist;1;1.0;1.0
2020-05;428;13.81;32.92
2020-04;706;23.53;23.53
2020-03;191;6.16;6.59
2020-02;100;3.45;5.56
2020-01;46;1.48;5.11
2019-12;17;0.55;1.55
2019-11;11;0.37;1.83
2019-06;3;0.1;1.5
2019-04;1;0.03;1.0
2019-03;2;0.06;1.0
2018-06;1;0.03;1.0
2017-01;3;0.1;1.0
2002-05;7;0.23;7.0
