Year-month;Works qnty;Avrg each day in month;Avrg daily
Unexist;1;1.0;1.0
2020-05;140;4.52;17.5
2020-04;78;2.6;4.33
2020-03;23;0.74;1.77
2020-02;8;0.28;1.0
2020-01;14;0.45;1.56
2019-12;13;0.42;1.3
2019-11;10;0.33;2.0
2017-12;1;0.03;1.0
2015-05;1;0.03;1.0
