Year-month;Works qnty;Avrg each day in month;Avrg daily
2020-05;60;1.94;10.0
2020-04;94;3.13;4.95
2020-03;13;0.42;2.6
2020-02;3;0.1;1.0
2019-04;1;0.03;1.0
2018-05;1;0.03;1.0
2018-02;1;0.04;1.0
