Year-month;Works qnty;Avrg each day in month;Avrg daily
Unexist;1;1.0;1.0
2020-05;488;15.74;37.54
2020-04;800;26.67;26.67
2020-03;204;6.58;7.03
2020-02;103;3.55;5.72
2020-01;46;1.48;5.11
2019-12;17;0.55;1.55
2019-11;11;0.37;1.83
2019-06;3;0.1;1.5
2019-04;2;0.07;1.0
2019-03;2;0.06;1.0
2018-06;1;0.03;1.0
2018-05;1;0.03;1.0
2018-02;1;0.04;1.0
2017-01;3;0.1;1.0
2002-05;7;0.23;7.0
